score,statsDataId,title,survey_date,updated_date,gov_org,matched_search_word
7,0003017264,23 都道府県別児童数別学校数 計 国立・公立・私立,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
7,0003017268,50 都道府県別生徒数別学校数 計 国立・公立・私立,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
7,0003017840,119 前期課程の都道府県別生徒数別学校数 国立・公立・私立,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003182805,167 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,201601-201612,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003142615,138 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,201501-201512,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003104790,120 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,201401-201412,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003046683,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（うち公立　都道府県別）,200704-200803,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003046684,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（うち私立　都道府県別）,200704-200803,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003046817,100 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,200704-200803,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003060204,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（うち公立　都道府県別）,200604-200703,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003060205,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（うち私立　都道府県別）,200604-200703,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003061465,100 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,200604-200703,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
