statsDataId,title,updated_date,survey_date,matched_search_word,title_score,pref_hit_count,area_sample,status
0003182805,167 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,201601-201612,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003142615,138 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,201501-201512,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003104790,120 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,201401-201412,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003046683,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（うち公立　都道府県別）,2023-10-25,200704-200803,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003046817,100 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,200704-200803,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003060204,93 修業年限別　通信制を置く学校数、入学状況及び生徒数（本科）（うち公立　都道府県別）,2023-10-25,200604-200703,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003061465,100 前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,200604-200703,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003065698,前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,2023-10-25,0,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003268528,45 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,201701-201712,学校基本調査 都道府県別 小学校 学校数 児童数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003179823,45 都道府県別  児童数別  学校数（うち公立　都道府県別）,2019-10-28,201601-201612,学校基本調査 都道府県別 小学校 学校数 児童数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
0003180481,72 都道府県別  生徒数別  学校数（うち公立　都道府県別）,2019-10-28,201601-201612,学校基本調査 都道府県別 高等学校 学校数 生徒数,3,47,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県,prefecture_area_found
