statsDataId,title,class_names,class_samples,json_path,status
0003011817,"{'@no': '7', '$': '都道府県別\u3000学校数及び学生数 学校数 都道府県別'}",cat01:設置者別(4) / area:都道府県別a(48),設置者別: 計 / 国立 / 公立 / 私立 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003011817.json,ok
0003011819,"{'@no': '7', '$': '都道府県別\u3000学校数及び学生数 学生数 都道府県別'}",cat01:設置者別(4) / cat02:性別(3) / area:都道府県別a(48),設置者別: 計 / 国立 / 公立 / 私立 || 性別: 計 / 男 / 女 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003011819.json,ok
0003013750,"{'@no': '176', '$': '都道府県別学校数 国立・公立・私立'}",cat01:設置者別(4) / area:都道府県別a(48),設置者別: 計 / 国立 / 公立 / 私立 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003013750.json,ok
0003011368,"{'@no': '184', '$': '都道府県別生徒数'}",cat01:性別(3) / cat02:設置者別(4) / cat03:課程別（専修学校）(4) / area:都道府県別a(48),性別: 計 / 男 / 女 || 設置者別: 計 / 国立 / 公立 / 私立 || 課程別（専修学校）: 計 / 高等課程 / 専門課程 / 一般課程 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003011368.json,ok
0003013680,"{'@no': '198', '$': '都道府県別学校数 国立・公立・私立'}",cat01:設置者別(4) / area:都道府県別a(48),設置者別: 計 / 国立 / 公立 / 私立 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003013680.json,ok
0003013387,"{'@no': '201', '$': '都道府県別生徒数 国立・公立・私立'}",cat01:設置者別(4) / cat02:性別(3) / area:都道府県別a(48),設置者別: 計 / 国立 / 公立 / 私立 || 性別: 計 / 男 / 女 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003013387.json,ok
0003015662,"{'@no': '56', '$': '都道府県別\u3000学校数及び学生数 学校数'}",cat02:設置者別(4) / area:都道府県別a(48),設置者別: 計 / 国立 / 公立 / 私立 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003015662.json,ok
0003015720,"{'@no': '56', '$': '都道府県別\u3000学校数及び学生数 学生数'}",cat01:性別(3) / cat02:設置者別(4) / cat03:学部・科別(4) / area:都道府県別a(48),性別: 計 / 男 / 女 || 設置者別: 計 / 国立 / 公立 / 私立 || 学部・科別: 計 / 本科 / 専攻科 / その他 || 都道府県別a: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県,data/priority_table_samples/0003015720.json,ok
0003059636,"{'@no': '234', '$': '都道府県別\u3000学校数'}",cat03:設置者別(10) / area:都道府県別(48) / time:時間軸（年次）(1),設置者別: 計 / 国立 / 公立 / 私立-計 / 私立-学校法人立 / 私立-準学校法人立 / 私立-財団法人立 / 私立-社団法人立 / 私立-その他の法人立 / 私立-個人立 || 都道府県別: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 || 時間軸（年次）: 2006年,data/priority_table_samples/0003059636.json,ok
0003059639,"{'@no': '237', '$': '都道府県別\u3000生徒数'}",cat03:性別(3) / cat04:設置者別(6) / area:都道府県別(48) / time:時間軸（年次）(1),性別: 計 / 男 / 女 || 設置者別: 計 / 国立 / 公立 / 私立 / 計のうち昼の課程の生徒数（再掲） / 計のうち高卒以上を入学資格とする課程の生徒数（再掲） || 都道府県別: 全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 富山県 / 石川県 / 福井県 / 山梨県 / 長野県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 || 時間軸（年次）: 2006年,data/priority_table_samples/0003059639.json,ok
