score,statsDataId,title,survey_date,updated_date,gov_org
3,0003061511,{'@no': '4'、 '$': '都道府県別  児童数別  学校数（設置者別）'},200604-200703,2019-10-28,文部科学省
3,0003061512,{'@no': '4'、 '$': '都道府県別  児童数別  学校数（うち公立\u3000都道府県別）'},200604-200703,2019-10-28,文部科学省
3,0003059826,{'@no': '31'、 '$': '都道府県別  生徒数別  学校数（設置者別）'},200604-200703,2019-10-28,文部科学省
3,0003059827,{'@no': '31'、 '$': '都道府県別  生徒数別  学校数（うち公立\u3000都道府県別）'},200604-200703,2019-10-28,文部科学省
2,0003015869,{'@no': '1'、 '$': '都道府県別\u3000学校数'},0,2012-03-02,文部科学省
2,0003016281,{'@no': '2'、 '$': '都道府県別\u3000学級数別\u3000学校数（うち公立\u3000都道府県別）'},0,2012-03-02,文部科学省
2,0003016282,{'@no': '2'、 '$': '都道府県別\u3000学級数別\u3000学校数（うち公立-本校\u3000都道府県別）'},0,2012-03-02,文部科学省
2,0003016283,{'@no': '2'、 '$': '都道府県別\u3000学級数別\u3000学校数（本校・分校別）'},0,2012-03-02,文部科学省
2,0003016284,{'@no': '2'、 '$': '都道府県別\u3000学級数別\u3000学校数（設置者別）'},0,2023-10-25,文部科学省
2,0003059800,{'@no': '26'、 '$': '指定都市等に所在する学校数・学級数・児童数及び教職員数'},200604-200703,2023-10-25,文部科学省
2,0003061519,{'@no': '8'、 '$': '学級編制方式別\u3000児童数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
2,0003061521,{'@no': '9'、 '$': '学年別\u3000７５条の学級児童数（都道府県別）'},200604-200703,2023-10-25,文部科学省
2,0003059823,{'@no': '28'、 '$': '都道府県別\u3000学級数別\u3000学校数（設置者別）'},200604-200703,2019-10-28,文部科学省
2,0003059824,{'@no': '28'、 '$': '都道府県別\u3000学級数別\u3000学校数（うち公立\u3000都道府県別）'},200604-200703,2019-10-28,文部科学省
2,0003059834,{'@no': '35'、 '$': '学級編制方式別\u3000生徒数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
2,0003059836,{'@no': '36'、 '$': '学年別\u3000７５条の学級生徒数（都道府県別）'},200604-200703,2023-10-25,文部科学省
2,0003059869,{'@no': '53'、 '$': '指定都市等に所在する学校数・学級数・生徒数及び教職員数'},200604-200703,2023-10-25,文部科学省
2,0003015880,都道府県別学校数,0,2010-09-07,文部科学省
2,0003004412,{'@no': '1'、 '$': '都道府県別\u3000学校数'},0,2012-03-01,文部科学省
1,0003061522,{'@no': '10'、 '$': '種類別\u3000７５条の学級児童数'},200604-200703,2023-10-25,文部科学省
1,0003061523,{'@no': '11'、 '$': '外国人児童数'},200604-200703,2023-10-25,文部科学省
1,0003061524,{'@no': '12'、 '$': '理由別\u3000長期欠席児童数'},200604-200703,2023-10-25,文部科学省
1,0003061526,{'@no': '13'、 '$': '帰国子女数（都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061529,{'@no': '15'、 '$': '職名別\u3000教員数（兼務者）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061531,{'@no': '16'、 '$': '本務教員のうち理由別休職等教員数（再掲）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061533,{'@no': '18'、 '$': '本務教職員のうち教務主任等の数（再掲）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061535,{'@no': '19'、 '$': '職員数（本務者）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061537,{'@no': '20'、 '$': '私費負担の職員数（国・公立の本務者）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061539,{'@no': '21'、 '$': '学校医等の数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059478,{'@no': '22'、 '$': 'へき地等指定学校数（公立）'},200604-200703,2023-10-25,文部科学省
1,0003059479,{'@no': '23'、 '$': 'へき地等指定学校の児童数（公立）'},200604-200703,2023-10-25,文部科学省
1,0003016262,{'@no': '3'、 '$': '類型別\u3000学校数（複式学級等）'},0,2012-03-02,文部科学省
1,0003016263,{'@no': '3'、 '$': '類型別\u3000学校数（学校医等）'},0,2012-03-02,文部科学省
1,0003016266,{'@no': '3'、 '$': '類型別\u3000学校数（保健主事等）'},0,2012-03-02,文部科学省
1,0003061514,{'@no': '5'、 '$': '編制方式別\u3000学級数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061516,{'@no': '6'、 '$': '収容人員別\u3000学級数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003061517,{'@no': '6'、 '$': '収容人員別\u3000学級数（再掲）（うち国立私立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003009751,{'@no': '7'、 '$': '学年別\u3000児童数'},0,2023-10-25,文部科学省
1,0003061518,{'@no': '8'、 '$': '学級編制方式別\u3000児童数（設置者別）'},200604-200703,2023-10-25,文部科学省
1,0003061520,{'@no': '9'、 '$': '学年別\u3000７５条の学級児童数（設置者別）'},200604-200703,2023-10-25,文部科学省
1,0003058583,{'@no': '29'、 '$': '中高一貫教育を行う学校数（再掲）'},200604-200703,2019-10-28,文部科学省
1,0003059825,{'@no': '30'、 '$': '類型別\u3000学校数'},200604-200703,2019-10-28,文部科学省
1,0003059829,{'@no': '32'、 '$': '編制方式別\u3000学級数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059831,{'@no': '33'、 '$': '収容人員別\u3000学級数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059832,{'@no': '33'、 '$': '収容人員別\u3000学級数（再掲）（うち国立私立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003058592,{'@no': '34'、 '$': '学年別\u3000生徒数'},200604-200703,2023-10-25,文部科学省
1,0003059833,{'@no': '35'、 '$': '学級編制方式別\u3000生徒数（設置者別）'},200604-200703,2023-10-25,文部科学省
1,0003059835,{'@no': '36'、 '$': '学年別\u3000７５条の学級生徒数（設置者別）'},200604-200703,2023-10-25,文部科学省
1,0003059853,{'@no': '37'、 '$': '種類別\u3000７５条の学級生徒数'},200604-200703,2023-10-25,文部科学省
1,0003059854,{'@no': '38'、 '$': '外国人生徒数'},200604-200703,2023-10-25,文部科学省
1,0003059856,{'@no': '39'、 '$': '帰国子女数（都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003058601,{'@no': '40'、 '$': '理由別\u3000長期欠席生徒数'},200604-200703,2023-10-25,文部科学省
1,0003059858,{'@no': '42'、 '$': '職名別\u3000教員数（兼務者）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059860,{'@no': '43'、 '$': '本務教員のうち理由別休職等教員数（再掲）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059862,{'@no': '45'、 '$': '本務教職員のうち教務主任等の数（再掲）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059864,{'@no': '46'、 '$': '職員数（本務者）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059866,{'@no': '47'、 '$': '私費負担の職員数（国・公立の本務者）（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003059868,{'@no': '48'、 '$': '学校医等の数（うち公立\u3000都道府県別）'},200604-200703,2023-10-25,文部科学省
1,0003058616,{'@no': '49'、 '$': 'へき地等指定学校数（公立）'},200604-200703,2023-10-25,文部科学省
1,0003058617,{'@no': '50'、 '$': 'へき地等指定学校の生徒数（公立）'},200604-200703,2023-10-25,文部科学省
1,0003045837,{'@no': '10'、 '$': '種類別\u3000特別支援学級児童数'},200704-200803,2023-10-25,文部科学省
1,0003045838,{'@no': '11'、 '$': '外国人児童数'},200704-200803,2023-10-25,文部科学省
1,0003046048,{'@no': '12'、 '$': '理由別\u3000長期欠席児童数'},200704-200803,2023-10-25,文部科学省
1,0003046178,{'@no': '13'、 '$': '帰国子女数（都道府県別）'},200704-200803,2023-10-25,文部科学省
1,0003045981,{'@no': '15'、 '$': '職名別\u3000教員数（兼務者）（うち公立\u3000都道府県別）'},200704-200803,2023-10-25,文部科学省
1,0003045983,{'@no': '16'、 '$': '本務教員のうち理由別休職等教員数（再掲）（うち公立\u3000都道府県別）'},200704-200803,2023-10-25,文部科学省
